,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
479,Qasigiannguit,GL,68.8193,-51.1922,0.63,82,82,5.01,broken clouds
480,Chase,CA,50.8165,-119.6857,35.71,94,100,3.42,light snow
481,Shache,CN,38.4167,77.2406,40.55,33,0,3.15,clear sky
482,Kerchevskiy,RU,59.946,56.2884,24.71,89,100,15.05,light snow
483,Tateyama,JP,34.9833,139.8667,64.09,57,13,29.28,few clouds
484,Grand Gaube,MU,-20.0064,57.6608,81.37,62,9,8.99,clear sky
485,Alekseyevsk,RU,57.8406,108.3492,32.79,83,100,12.71,overcast clouds
486,Bati,ET,11.1833,40.0167,76.77,26,58,12.46,broken clouds
487,Mehriz,IR,31.5917,54.4318,64.9,25,8,6.64,clear sky
488,Kupang,ID,-10.1667,123.5833,81.43,84,94,5.64,light rain
489,Atambua,ID,-9.1061,124.8925,77.94,87,100,0.94,overcast clouds
490,Manakara,MG,-22.1333,48.0167,83.34,68,0,14.38,clear sky
491,Palmas De Monte Alto,BR,-14.2672,-43.1619,81.55,54,90,4.59,overcast clouds
492,Maceio,BR,-9.6658,-35.7353,87.24,70,75,8.05,broken clouds
493,Leningradskiy,RU,69.3833,178.4167,-2.34,99,94,4.29,overcast clouds
494,Ekhabi,RU,53.5102,142.9671,39.09,95,61,9.06,broken clouds
495,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,74.61,95,100,1.14,overcast clouds
496,Kodinsk,RU,58.6881,99.1844,28.54,91,94,7.11,overcast clouds
497,Mozarlandia,BR,-14.7447,-50.5706,73.0,93,100,4.97,moderate rain
498,Goderich,CA,43.7501,-81.7165,46.9,66,100,20.71,overcast clouds
499,Peniche,PT,39.3558,-9.3811,67.62,79,42,3.6,scattered clouds
500,The Valley,AI,18.217,-63.0578,83.82,74,20,11.5,few clouds
501,Acapulco,MX,16.8634,-99.8901,74.1,86,7,5.79,clear sky
502,Sanbu,CN,33.4594,119.1453,47.26,50,1,5.57,clear sky
503,Khor,RU,47.8861,134.9464,28.47,97,100,9.13,light snow
504,Adrar,MR,20.5022,-10.0711,81.0,9,100,12.8,overcast clouds
505,Barra Patuca,HN,15.8,-84.2833,74.19,91,63,5.41,broken clouds
506,Clinton,US,42.587,-82.9199,52.12,83,1,1.01,clear sky
507,Bintulu,MY,3.1667,113.0333,81.01,89,20,0.0,few clouds
508,Omsukchan,RU,62.5333,155.8,18.57,95,100,7.61,overcast clouds
509,Hailar,CN,49.2,119.7,23.23,47,2,7.94,clear sky
510,Atar,MR,20.5169,-13.0499,84.78,13,100,10.13,overcast clouds
511,Chillan,CL,-36.6066,-72.1034,53.92,100,90,3.44,overcast clouds
512,Olafsvik,IS,64.8945,-23.7142,35.74,77,27,13.22,scattered clouds
513,Sabzevar,IR,36.2126,57.6819,61.88,23,0,4.61,clear sky
514,Wageningen,NL,51.9667,5.6667,53.94,87,90,5.75,mist
515,Bredy,RU,52.4153,60.3411,26.85,65,100,12.01,overcast clouds
516,Itoman,JP,26.1247,127.6694,69.82,53,40,10.36,scattered clouds
517,Tessalit,ML,20.1986,1.0114,81.72,7,50,9.01,scattered clouds
518,Port Hardy,CA,50.6996,-127.4199,46.4,81,90,19.57,overcast clouds
519,Nabire,ID,-3.3667,135.4833,76.19,95,100,5.97,overcast clouds
520,Mackenzie,CA,55.2999,-123.1698,19.62,93,40,0.0,scattered clouds
521,Logrono,ES,42.4667,-2.45,57.4,85,0,12.66,clear sky
522,Moose Factory,CA,51.2585,-80.6094,24.8,93,1,5.75,clear sky
523,Zhuhai,CN,22.2769,113.5678,73.85,49,0,4.61,clear sky
524,Bom Jesus Da Lapa,BR,-13.255,-43.4181,82.99,52,92,2.93,overcast clouds
525,Rudbar,AF,30.15,62.6,72.91,12,0,7.94,clear sky
526,Batemans Bay,AU,-35.7167,150.1833,58.19,75,99,3.49,moderate rain
527,Jinxiang,CN,27.4327,120.6062,58.91,61,0,5.01,clear sky
528,Carire,BR,-3.9506,-40.4733,86.99,47,2,6.87,clear sky
529,Furukawa,JP,38.5717,140.9556,51.55,79,94,4.94,overcast clouds
530,Porto Santo,PT,33.072,-16.3415,70.18,64,75,8.05,broken clouds
531,Kupino,RU,54.3663,77.2981,38.84,90,100,8.16,overcast clouds
532,Ajdabiya,LY,30.7554,20.2263,79.3,36,30,9.73,scattered clouds
533,Lamu,KE,-2.2717,40.902,88.02,66,22,13.13,few clouds
534,Urusha,RU,54.05,122.9,18.01,70,4,4.43,clear sky
535,Hanmer Springs,NZ,-42.5167,172.8167,57.24,89,99,5.53,moderate rain
536,Teknaf,BD,20.8624,92.3058,78.82,75,92,6.24,overcast clouds
537,San Policarpo,PH,12.1791,125.5072,82.27,84,100,11.95,overcast clouds
538,Omachi,JP,36.5,137.8667,46.49,85,50,3.69,moderate rain
539,Champerico,GT,14.3,-91.9167,76.03,77,5,4.05,clear sky
540,Margate,GB,51.3813,1.3862,58.17,77,98,1.99,overcast clouds
541,Murgab,TM,37.4966,61.9714,60.67,36,0,11.5,clear sky
542,Sabaudia,IT,41.3003,13.0282,69.78,75,100,4.65,overcast clouds
543,Vagur,FO,61.4732,-6.8119,42.8,63,95,3.76,overcast clouds
544,Kosonsoy,UZ,41.2561,71.5508,45.16,46,36,3.27,scattered clouds
545,Kamenka,RU,51.3223,42.7678,35.01,39,98,13.22,overcast clouds
546,Usinsk,RU,65.9939,57.5281,19.44,92,100,20.54,overcast clouds
547,Lufilufi,WS,-13.8745,-171.5986,76.78,81,99,12.77,light rain
548,Strezhevoy,RU,60.7333,77.5889,6.78,95,44,6.55,scattered clouds
549,Kenai,US,60.5544,-151.2583,23.14,95,90,3.44,mist
550,Frejlev,DK,57.0062,9.8171,50.97,82,75,13.8,broken clouds
551,Sibu,MY,2.3,111.8167,80.91,89,40,1.14,scattered clouds
552,Fomboni,KM,-12.28,43.7425,80.74,76,55,4.54,light rain
553,Buchanan,LR,5.8808,-10.0467,87.76,69,75,3.98,light rain
554,Vavozh,RU,56.7751,51.931,30.06,55,97,17.76,light snow
555,Mago,RU,53.2514,140.1822,32.38,83,59,2.68,broken clouds
556,Hammerfest,NO,70.6634,23.6821,34.25,100,90,16.11,light rain
557,Usvyaty,RU,55.7456,30.7533,35.69,93,100,5.64,overcast clouds
558,Broken Hill,AU,-31.95,141.4333,47.91,93,90,13.8,overcast clouds
559,Alyangula,AU,-13.8483,136.4192,85.87,79,99,9.22,overcast clouds
560,Mujiayingzi,CN,42.1167,118.7833,26.01,64,2,10.16,clear sky
561,Kathmandu,NP,27.7167,85.3167,62.82,67,20,6.91,few clouds
562,Brownsville,US,25.9018,-97.4975,70.92,90,1,0.0,clear sky
563,Carballo,ES,43.213,-8.691,61.02,72,3,3.31,clear sky
564,Kahului,US,20.8947,-156.47,75.85,73,1,9.22,clear sky
565,Playas,EC,-2.6333,-80.3833,69.37,83,100,7.14,overcast clouds
566,Moron,AR,-34.6534,-58.6198,72.01,63,37,7.0,scattered clouds
567,Charyshskoye,RU,51.3978,83.5598,32.58,76,95,5.03,overcast clouds
568,Union,US,40.6334,-74.2663,55.89,71,1,0.0,clear sky
569,Calama,CL,-22.4667,-68.9333,55.89,11,33,19.57,scattered clouds
570,Yulara,AU,-25.2406,130.9889,58.84,58,37,5.75,scattered clouds
571,Saint-Joseph,RE,-21.3667,55.6167,80.96,78,44,4.99,scattered clouds
572,Pacific Grove,US,36.6177,-121.9166,59.97,88,1,1.99,clear sky
573,Coahuayana,MX,18.7333,-103.6833,75.94,81,68,3.13,broken clouds
574,Yerbogachen,RU,61.2767,108.0108,24.08,95,100,8.05,overcast clouds
575,Kosa,RU,59.9445,54.9977,24.91,92,100,14.72,snow
576,Parry Sound,CA,45.3501,-80.033,38.21,70,91,11.74,overcast clouds
577,Anaco,VE,9.4389,-64.4728,78.51,65,62,9.95,broken clouds
578,Haines Junction,CA,60.7522,-137.5108,-2.25,84,76,2.3,broken clouds
579,Seymchan,RU,62.8833,152.4333,14.88,96,100,1.36,light snow
580,Ayan,RU,56.45,138.1667,30.42,94,100,14.34,light snow
581,Ahuimanu,US,21.4447,-157.8378,74.86,76,20,0.0,few clouds
582,Hamilton,US,39.1834,-84.5333,56.57,73,90,1.01,overcast clouds
583,Aykhal,RU,66.0,111.5,-0.22,99,97,7.99,overcast clouds
584,Tukrah,LY,32.5341,20.5791,74.66,51,97,5.3,overcast clouds
585,Bachaquero,VE,9.9694,-71.1494,77.54,69,85,5.64,overcast clouds
586,Pemangkat,ID,1.1667,108.9667,77.13,89,100,10.13,overcast clouds
587,Pontes E Lacerda,BR,-15.2261,-59.3353,75.74,94,100,1.66,heavy intensity rain
588,Buala,SB,-8.145,159.5921,81.36,82,63,6.8,light rain
589,Evensk,RU,61.95,159.2333,20.46,87,100,8.57,overcast clouds
590,Tuatapere,NZ,-46.1333,167.6833,57.4,87,100,3.91,overcast clouds
591,Taoudenni,ML,22.6783,-3.9836,78.8,11,100,7.43,overcast clouds
592,Ballina,AU,-28.8667,153.5667,77.18,96,100,10.36,overcast clouds
593,Abbeville,FR,50.1,1.8333,53.49,78,99,3.89,overcast clouds
594,Helong,CN,42.5397,128.9972,26.33,70,100,10.11,overcast clouds
595,Mosquera,CO,4.7059,-74.2302,53.69,94,40,3.44,haze
596,Flin Flon,CA,54.7682,-101.865,22.84,80,90,16.11,overcast clouds
597,Hokitika,NZ,-42.7167,170.9667,59.49,98,100,9.8,moderate rain
598,Huaihua,CN,27.5494,109.9592,57.88,68,100,3.27,overcast clouds
599,Priargunsk,RU,50.3691,119.1012,25.68,47,8,5.73,clear sky
600,Aitape,PG,-3.1374,142.3475,80.29,84,95,4.47,overcast clouds
601,Kahta,TR,37.7855,38.6237,62.04,25,0,13.8,clear sky
602,Nenjiang,CN,49.1833,125.2167,24.24,63,85,10.71,overcast clouds
603,Rock Sound,BS,24.9,-76.2,79.39,72,100,20.85,light rain
604,Baykit,RU,61.67,96.37,26.71,98,100,2.53,light snow
605,Woodward,US,36.4337,-99.3904,45.63,90,1,6.91,clear sky
606,Piopio,NZ,-38.4667,175.0167,57.96,99,96,1.05,overcast clouds
607,Kintampo,GH,8.0563,-1.7306,92.23,46,22,2.13,few clouds
608,Narayangarh,IN,30.4833,77.1333,71.35,32,15,3.24,few clouds
609,Camana,PE,-16.6228,-72.7111,65.61,80,99,7.94,overcast clouds
610,San Vicente,AR,-26.6167,-54.1333,70.56,75,92,2.53,overcast clouds
611,Mgandu,TZ,-5.95,34.1333,88.36,13,26,10.16,scattered clouds
612,Abu Kamal,SY,34.4506,40.9171,74.08,12,20,8.66,few clouds
613,Kruisfontein,ZA,-34.0033,24.7314,70.88,70,100,16.37,overcast clouds
614,Novouzensk,RU,50.4592,48.1431,34.41,40,6,10.2,clear sky
615,Novoagansk,RU,61.9449,76.6625,-6.11,99,6,3.87,clear sky
616,Aloleng,PH,16.1307,119.7824,81.79,81,82,8.52,broken clouds
617,San Quintin,MX,30.4833,-115.95,61.59,82,0,1.1,clear sky
618,Baruun-Urt,MN,46.6806,113.2792,26.83,48,1,8.79,clear sky
619,Poum,NC,-20.2333,164.0167,77.83,84,64,8.23,broken clouds
620,Khandyga,RU,62.6667,135.6,10.96,97,100,3.78,overcast clouds
621,Sinnamary,GF,5.3833,-52.95,79.81,83,80,4.88,broken clouds
622,Asha,RU,54.9973,57.2722,23.18,77,6,3.44,clear sky
623,Kainantu,PG,-6.2887,145.8655,61.16,85,34,0.56,scattered clouds
624,San Patricio,US,28.017,-97.5169,71.83,92,0,5.88,clear sky
625,Anadyr,RU,64.75,177.4833,7.3,85,20,8.95,few clouds
626,Druzhba,UA,52.0428,33.9453,37.81,45,100,13.94,light rain
627,Neuquen,AR,-38.9516,-68.0591,64.29,59,0,8.05,clear sky
628,Jumla,NP,29.2747,82.1838,48.49,79,6,0.04,clear sky
629,Cairns,AU,-16.9167,145.7667,83.1,82,90,4.61,overcast clouds
630,Winston,US,28.0317,-82.0148,68.02,95,40,4.61,scattered clouds
631,Mazara Del Vallo,IT,37.6641,12.588,67.95,75,91,9.62,overcast clouds
632,Sawakin,SD,19.1059,37.3321,88.38,56,19,12.35,few clouds
633,Pokaran,IN,26.9167,71.9167,84.36,12,22,4.14,few clouds
634,Sayyan,YE,15.1718,44.3244,67.01,20,3,1.5,clear sky
635,Teseney,ER,15.11,36.6575,96.21,18,0,6.89,clear sky
636,Nouna,BF,12.7333,-3.8667,96.96,12,99,8.05,overcast clouds
637,Slave Lake,CA,55.2834,-114.769,17.58,93,20,4.61,light snow
638,Yushan,CN,31.3776,120.9543,57.09,42,66,7.38,broken clouds
639,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,82.4,68,82,0.83,broken clouds
640,Nicoya,CR,10.1483,-85.452,67.55,91,35,1.72,scattered clouds
641,Mumbwa,ZM,-14.9783,27.0619,87.98,30,60,11.05,broken clouds
642,Bhan,PK,26.5583,67.7214,87.66,13,25,2.42,scattered clouds
643,Maragogi,BR,-9.0122,-35.2225,81.28,74,45,9.17,scattered clouds
644,Port Hedland,AU,-20.3167,118.5667,75.25,69,50,5.75,scattered clouds
645,Bitung,ID,1.4451,125.1824,79.65,79,97,4.52,overcast clouds
646,Huarmey,PE,-10.0681,-78.1522,63.54,85,35,4.92,scattered clouds
647,Ribeira Brava,PT,32.65,-17.0667,72.72,73,60,4.38,broken clouds
648,Saveh,IR,35.0213,50.3566,58.03,42,86,11.81,overcast clouds
649,Greeley,US,40.4233,-104.7091,41.27,61,1,8.05,clear sky
650,Dawei,MM,14.0833,98.2,78.87,75,59,1.25,broken clouds
651,Tsiroanomandidy,MG,-18.7667,46.0333,83.43,44,84,9.24,broken clouds
652,Ondangwa,NA,-17.9167,15.95,93.2,21,92,5.97,overcast clouds
653,Kudahuvadhoo,MV,2.6708,72.8944,82.58,79,48,20.8,scattered clouds
654,Rorvik,NO,64.8621,11.2373,41.11,87,75,9.22,light rain
655,Gorgan,IR,36.8387,54.4348,53.56,71,90,11.5,overcast clouds
656,Harwich,GB,51.9419,1.2844,58.33,90,100,3.0,overcast clouds
657,Aden,YE,12.7794,45.0367,83.32,56,12,12.46,few clouds
658,Pompeu,BR,-19.2244,-44.9353,73.27,79,100,3.6,light rain
659,Collie,AU,-33.3667,116.15,55.98,69,6,10.92,clear sky
660,Kashiwazaki,JP,37.3667,138.55,51.89,74,95,17.11,overcast clouds
661,Sulmona,IT,42.0479,13.9291,67.62,81,100,4.47,overcast clouds
662,Tazovskiy,RU,67.4667,78.7,2.01,98,96,7.2,overcast clouds
663,Qaqortoq,GL,60.7167,-46.0333,19.9,53,99,4.47,overcast clouds
664,Saquarema,BR,-22.92,-42.5103,73.54,75,100,6.58,light rain
665,Berdigestyakh,RU,62.0989,126.6992,-4.97,100,79,3.98,broken clouds
666,Ziway,ET,7.9333,38.7167,79.2,30,78,4.76,broken clouds
667,Kawalu,ID,-7.3817,108.2082,72.9,97,100,1.16,light rain
668,Bollnas,SE,61.3482,16.3946,45.12,76,100,13.69,overcast clouds
669,Bakel,SN,14.905,-12.4568,94.96,14,100,11.99,overcast clouds
670,Quang Ngai,VN,15.1167,108.8,71.92,93,100,5.7,light rain
671,Stephenville,US,32.2207,-98.2023,51.93,75,1,9.22,clear sky
672,Dunedin,NZ,-45.8742,170.5036,56.8,84,100,10.25,overcast clouds
673,Santa Cruz De La Palma,ES,28.6835,-17.7642,75.34,64,75,6.91,broken clouds
674,Khasan,RU,42.4308,130.6434,35.11,57,100,19.51,overcast clouds
675,Poya,NC,-21.35,165.15,75.79,83,62,3.06,broken clouds
676,Samarai,PG,-10.6167,150.6667,82.99,81,100,13.2,overcast clouds
677,Dubbo,AU,-32.25,148.6167,68.13,94,90,1.14,overcast clouds
678,Bowmore,US,34.9421,-79.3031,49.75,87,20,3.44,mist
679,Matagami,CA,49.7502,-77.6328,15.91,100,1,3.44,clear sky
680,Cockburn Town,TC,21.4612,-71.1419,81.79,71,76,17.65,broken clouds
681,Warmbad,NA,-28.45,18.7333,93.07,7,0,6.15,clear sky
682,Rapid Valley,US,44.0625,-103.1463,37.45,45,1,1.01,clear sky
683,Sao Felix Do Xingu,BR,-6.6447,-51.995,84.06,66,68,1.97,broken clouds
684,Campos Altos,BR,-19.6961,-46.1714,66.58,92,100,1.01,light rain
685,Grindavik,IS,63.8424,-22.4338,39.67,81,75,12.66,broken clouds
686,Polovinnoye,RU,54.7914,65.9864,24.58,69,64,4.92,broken clouds
687,Severnoye,RU,56.3491,78.3619,28.94,93,100,9.01,overcast clouds
688,Tara,RU,56.8944,74.371,23.25,85,100,5.91,overcast clouds
689,Victorville,US,34.5361,-117.2912,64.33,63,0,1.61,clear sky
690,Clarence Town,AU,-32.5833,151.7833,66.11,99,100,5.93,overcast clouds
691,Yar-Sale,RU,66.8333,70.8333,12.0,88,99,16.46,overcast clouds
692,Gazli,UZ,40.1333,63.45,56.95,41,0,2.64,clear sky
693,Tombouctou,ML,20.0,-3.0,82.38,8,100,10.33,overcast clouds
694,Cochrane,CA,51.1834,-114.4687,29.61,47,75,6.91,broken clouds
695,Pervomayskoye,RU,43.919,46.7102,41.72,51,87,5.41,overcast clouds
696,Princeton,US,25.5384,-80.4089,78.01,88,40,5.75,scattered clouds
697,Sydney,AU,-33.8679,151.2073,60.31,94,90,1.99,moderate rain
698,Jagodina,RS,43.9814,21.2622,58.26,38,94,7.31,overcast clouds
699,Moindou,NC,-21.6924,165.677,75.15,75,15,4.21,few clouds
700,Maldonado,UY,-34.6667,-54.9167,66.22,51,0,10.45,clear sky
701,Erzin,TR,36.9559,36.2,72.12,22,1,5.5,clear sky
702,Mawlaik,MM,23.6333,94.4167,75.52,80,89,0.63,overcast clouds
703,Robertsport,LR,6.7533,-11.3686,83.19,72,59,7.31,broken clouds
704,Aksarayskiy,RU,46.7924,48.0119,35.55,33,0,6.29,clear sky
705,Nerang,AU,-27.9833,153.3333,76.84,97,100,3.0,overcast clouds
706,Atbasar,KZ,51.8,68.3333,37.92,59,100,3.89,overcast clouds
707,Omboue,GA,-1.5746,9.2618,78.06,83,100,3.98,overcast clouds
708,Barcelos,PT,41.5388,-8.6151,67.84,55,0,4.03,clear sky
709,Plettenberg Bay,ZA,-34.0527,23.3716,67.64,75,67,10.78,broken clouds
710,Porto Belo,BR,-27.1578,-48.5531,72.16,72,100,9.15,overcast clouds
711,Kourou,GF,5.1552,-52.6478,84.11,70,19,4.14,few clouds
712,Tamandare,BR,-8.7597,-35.1047,82.18,73,22,9.06,few clouds
713,Alpena,US,45.0617,-83.4327,49.1,76,90,15.01,overcast clouds
714,Puerto Lumbreras,ES,37.5633,-1.8097,68.32,36,26,3.2,scattered clouds
715,Manadhoo,MV,5.7667,73.3833,82.31,78,13,19.37,few clouds
716,Tornio,FI,65.8481,24.1466,39.22,88,98,13.78,light rain
717,Coaraci,BR,-14.6408,-39.5511,81.84,68,65,3.56,broken clouds
